Metric,Value
Number of test images,528.0
Mean Dice,0.6318922647065641
Median Dice,0.693979948759079
Minimum Dice,3.7037032996067865e-08
Maximum Dice,1.0
Standard Deviation Dice,0.24638510693060187
Mean IoU,0.5048565465281876
Median IoU,0.5313725769519806
